City	Country	Continent	Category	Sub-Category	Action Type	Action Name	Year	Action description	Source(s)	Link(s)	GCOM ID	CDP Account number	Character count of description	description usability
Ibagué	Colombia	Latin America	Waste		Recyclables and organics separation from other waste		2017	"Ejecución de programas de recuperación, reutilización y aprovechamiento de residuos sólidos en la zona rural,Apoyo de asociaciones de trabajadores recuperadores de residuos sólidos."	CDP			60374	181	
Ibagué	Colombia	Latin America	Community-Scale Development		Green space and/ or biodiversity preservation and expansion		2017	Mantenimiento de  391 hectáreas de predios con fines de conservación ambiental.Implementación de acciones de restauración en 100 hectáreas con fines de conservación ambiental.Producción 32.000 plántulas y material vegetal.Realización de jornadas de mantenimiento a parques y zonas verdes.	CDP			60374	288	
Antananarivo	Madagascar	Africa	Water		Water metering and billing		2017	Participation des usagers des bornes fontaines publiques	CDP			36223	56	
Panamá	Panama	Latin America	Mass Transit		"Improve rail, metro, and tram infrastructure, services and operations"		2017	The national government built the first line of Metro system not only to transport passengers but also to reduce emissions for this subsector.	CDP			57505	142	
Panamá	Panama	Latin America	Buildings		Energy efficiency/ retrofit measures		2017	The national government replaced it thousand of home bulbs to reduce the energy consumptions at domestics level.	CDP			57505	112	
Panamá	Panama	Latin America	Mass Transit		"Improve bus infrastructure, services, and operations"		2017	The national government replaced the old public transportation systems for a new one. The new buses are more efficient and reduce it the emissions of gases	CDP			57505	155	
Pereira	Colombia	Latin America	Mass Transit		Smart public transport		2017	desarrollo de vías para transporte alternativo	CDP			54617	46	
Pereira	Colombia	Latin America	Waste		Waste prevention policies and programs		2017	sobre uso de agua y luz	CDP			54617	23	
Madrid	Spain	Europe	Waste		Landfill management		2017		CDP			31171	0	
Ríohacha	Colombia	Latin America	Other		Other		2017	"control vehicular en relación a la solicitud del certificado tecnicomecanido y de emisión de gases, por parte de la dirección de  transito Distrital."	CDP			60373	149	
Rionegro	Colombia	Latin America	Private Transport		Awareness and education for non motorized transport		2017	"El Sistema de Bicicletas Públicas – SBP, es una alternativa de transporte no convencional, es una medida de movilidad responsable y sustentable, que ayuda a reducir la contaminación del aire, el ruido, el consumo de energía y los costos de transporte, y que adicionalmente, permite una mayor autonomía en los desplazamientos.La ciudad de Rionegro se suma a las dinámicas urbanas que son tendencia a nivel mundial con la implementación del Sistema de Bicicletas Públicas Bici-río, el cual cuenta con de bicicletas para ser usadas en las ciclorrutas del municipio, constituyendo un nuevo eje para la red vial de la ciudad.Bici-río cuenta con dos sistemas:Sistema de Rutas Escolares en Bicicleta (SIREB).Sistema de Bicicletas Públicas (SBP).Bici-río se desarrolla bajo la figura de Convenio de Asociación entre la Alcaldía de Rionegro y la Universidad EAFIT, esta última con una experiencia de cuatro años con la implementación y operación del Sistema EnCicla de Medellín.La CiclorrutaEn el momento, la zona urbana de Rionegro cuenta con 7 kilómetros de cicloruta para el disfrute de toda la comunidad.El corredor ciclístico que conecta a los barrios con las diferentes centralidades de Rionegro, se encuentra trazado inicialmente siguiendo cinco rutas:El PorvenirCuatro EsquinasQuebrada ArribaAlto del Medio"	CDP			69968	1305	
Rionegro	Colombia	Latin America	Waste		Recyclables and organics separation from other waste		2017	"Fortalecimiento en recolección de residuos en la fuente, aprovechamiento de residuos, reintroducción de residuos dentro de la cadena de valor, en formulación proyecto de compostaje para aprovechamiento de orgánicos."	CDP			69968	215	
Rionegro	Colombia	Latin America	Community-Scale Development		Green space and/ or biodiversity preservation and expansion		2017	"Recuperación de espacios públicos y zonas verdes, ornato urbano, siembra y mantenimiento de árboles urbanos y rurales, compra de predios para protección de ecosistemas (abastecimiento de acueductos), campañas educativas en el tema de protección ambiental, aplicación del Comparendo ambiental."	CDP			69968	292	
Rionegro	Colombia	Latin America	Outdoor Lighting		LED / CFL / other luminaire technologies		2017	"Se está haciendo cambio de la luminaria pública por bombillas tipo LED, con el fin de generar ahorro de energía y contribuir al cambio climático."	CDP			69968	145	
Caracas	Venezuela	Latin America	Other		Other		2017	"A national project called ' Proyecto Guaire' had set as a target treting 100% of sewage before disposing it to the Guaire river.  A large PR campaign accompanied the launch of the project, however to date, few advancements have been made and only 4% of the sewage is treated."	CDP			31159	275	
Caracas	Venezuela	Latin America	Other		Other		2017	Establishment of counter-flow channels of traffic in rush hours in particularly jammed zones of the city. Emission reduction not estimated.	CDP			31159	139	
Caracas	Venezuela	Latin America	Mass Transit		Improve fuel economy and reduce CO2 from bus and/or light rail		2017	High subsidies on gasoline (1 cents per gallon)  create a disincentive for alternative fuels. Current electricity generation deficit also hinder the posibility to conduct the project.	CDP			31159	183	
Caracas	Venezuela	Latin America	Waste		Recycling or composting collections and/or facilities		2017	"New National Solid Waste law was adopted, but it has not been implemented yet."	CDP			31159	78	
Caracas	Venezuela	Latin America	Mass Transit		"Improve bus infrastructure, services, and operations"		2017	"Project to improve the mobility of motor traffic in the city, with the the installation of intelligent traffic lights. Conducted by the Metropolitan Mayoralty."	CDP			31159	159	
Caracas	Venezuela	Latin America	Private Transport		Awareness and education for non motorized transport		2017	Projects to promote the use of bicycles as a mean of transportation called “Caracas a pedal”. Conducted by the Metropolitan Mayoralty. Emission reduction not estimated.	CDP			31159	168	
Caracas	Venezuela	Latin America	Mass Transit		"Improve rail, metro, and tram infrastructure, services and operations"		2017	The National Government has been working on extending the metro lines to serve residential areas in the periphery of the city	CDP			31159	125	
Caracas	Venezuela	Latin America	Community-Scale Development		Green space and/ or biodiversity preservation and expansion		2017	"There are policies to protect green spaces, but they are not enforced, which is a responsibility of national government. Some protected areas have been invaded recently and developed illegally."	CDP			31159	193	
Caracas	Venezuela	Latin America	Buildings		Energy efficiency/ retrofit measures		2017	"This was a Program for substitution of incandescent lights with CFL in industrial, commercial and domestic buildings, it is free of charge, conducted by the national government."	CDP			31159	177	
Madrid	Spain	Europe	Outdoor Lighting		LED / CFL / other luminaire technologies		2017		CDP			31171	0	
Arusha 	United Republic of Tanzania	Africa	Buildings		Carbon emissions reduction from industry		2017	Large-scale tree planting and greening programme	CDP			58596	48	
Caracas	Venezuela	Latin America	Mass Transit		"Improve bus infrastructure, services, and operations"		2017	"Transmetropoli Program. This is a Strategic Transportation System which was implemented by the Metropolitan Mayoralty to re-organize in the short term the existing  routes between municipalities in Caracas, and also to modernize and to make more efficient the public transportation service.  This System integrates the transport organizations that are offering the service in the city and promotes the renewal of the current fleet, which is obsolete, by monitored units that uses latest generation technology (includes Systems of Intelligent Transportation components SIT), and with a capacity that meet the demand."	CDP			31159	615	
Caracas	Venezuela	Latin America	Food and Agriculture		Encourage sustainable food production and consumption		2017	"Urban agriculture is a pilot project conducted by the national government, which uses available public lands for agriculture. A demonstration urban farm was created near the city core. It has very limited impact."	CDP			31159	212	
Sincelejo	Colombia	Latin America	Finance and Economic Development		Developing the green economy		2017	con la implementacion de los proyectos productivos de produccion limpia se desean fortalecer unas cadenas de valor de productos verde	CDP			60387	133	
Sincelejo	Colombia	Latin America	Community-Scale Development		Urban agriculture		2017	"en este gobierno se implementará un programa de agricultura urbana con hortalizas, bajo el modelo de produccion agroecologica, para personas de bajos recursos y los sectores menos favorecidos"	CDP			60387	191	
Sincelejo	Colombia	Latin America	Community-Scale Development		Green space and/ or biodiversity preservation and expansion		2017	"En este gobierno se tiene pensado convertir a la ciudad de Sincelejo en una ciudad verde, por lo que se está haciendo la gestion de recursos para la implementacion de proyectos para el embellecimiento de parques y la ampliacion de zonas verdes, hacer declatorias de areas protegidas y la recuperacion de cuencas hidricas"	CDP			60387	320	
Sincelejo	Colombia	Latin America	Waste		Recycling or composting collections and/or facilities		2017	"se está elaborando el Plan de Gestion Integral de Residuos Solidos, y luego se implementará, para dar paso al manejo integral de residuos solidos, donde se fortalecerá la red de recicladores con un programa de reciclaje y se trabajará en la transformacion de abonos y compostaje"	CDP			60387	278	
Sincelejo	Colombia	Latin America	Food and Agriculture		Encourage sustainable food production and consumption		2017	"Se implementaran proyectos productivos con produccion limpia, produccion agroecologica, para fortalecer la economia del sector rural campesino"	CDP			60387	142	
Sincelejo	Colombia	Latin America	Water		Water recycling and reclamation		2017	"se van a implementar la construccion de represas, jagueyes y distritos de aguas con la ifinalidad de implementar riegos en las comunidades rurales"	CDP			60387	146	
Antananarivo	Madagascar	Africa	Waste		Improve the efficiency of waste collection		2017	"Amélioration du parc de camions collecteurs de déchets urbainsImprovement of the coordination of collection, sorting and transport of waste in order to reduce the amount of waste to transport"	CDP			36223	191	
Antananarivo	Madagascar	Africa	Waste		Waste prevention policies and programs		2017	de testes et lois sur les déchets	CDP			36223	33	
Antananarivo	Madagascar	Africa	Buildings		Building codes and standards		2017	"Nécessité des permis de construire, plan d'urbanisme...  pour le maintien de l'assainissement"	CDP			36223	93	
Antananarivo	Madagascar	Africa	Community-Scale Development		Green space and/ or biodiversity preservation and expansion		2017	pour juguler les températures dans la ville et diminuer les émissions de GES	CDP			36223	76	
Antananarivo	Madagascar	Africa	Waste		Landfill management		2017	"Projet de création d'un site de décharges, en normes. Le Projet a déjà eu un avis environnemental favorable et est actuellement en négociations avec la Commune qui accueillera la décharge"	CDP			36223	187	
Antananarivo	Madagascar	Africa	Community-Scale Development		Urban agriculture		2017	To improve the ecosystem and provide for school cantinesPour améliorer l'alimentation et les finances des ménages	CDP			36223	113	
Antananarivo	Madagascar	Africa	Water		Water recycling and reclamation		2017	Traitement des eaux usées exigées pour les industries et les grands utilisateurs d'eauDes taxes prévues pour tout rejet d'eaux uséesdes textes et lois sur l'eau sa meilleure gestion : Code de l'Eau ; décret sur les redevances...	CDP			36223	228	
Arusha 	United Republic of Tanzania	Africa	Buildings		Building codes and standards		2017	CBD densification policy in the master plan	CDP			58596	43	
Madrid	Spain	Europe	Waste		Recyclables and organics separation from other waste		2017		CDP			31171	0	
Arusha 	United Republic of Tanzania	Africa	Waste		Landfill management		2017	Moving from open dump site to Sanitary Landfill by improving the infrastructures and Land fill equipment's	CDP			58596	106	
Arusha 	United Republic of Tanzania	Africa	Waste		Recycling or composting collections and/or facilities		2017	Small scale recycling initiative run by local NGO’s/communities	CDP			58596	63	
Auckland 	New Zealand	South Asia and Oceania	Private Transport		Infrastructure for non motorized transport		2017	22 kms of new cycle ways and 12 kms of cycling feeder routes were constructed in between October 2014-2015	CDP			43932	106	
Auckland 	New Zealand	South Asia and Oceania	Food and Agriculture		Encourage sustainable food production and consumption		2017	"Auckland Food Alliance. Development of a Food Policy Council for Auckland.Establish an enabling entity that identifies and removes policy roadblocks and introduces practical incentives which empower community-led initiatives and support business practices towards Auckland’s Sustainable Food System. The Auckland Food Alliance will represent stakeholders from across the food system including production, distribution, end user and waste, and from across public and private sectors concerned with health, environment, social and economic outcomes."	CDP			43932	547	
Auckland 	New Zealand	South Asia and Oceania	Buildings		Energy efficiency/ retrofit measures		2017	"Citywide commercial Tenancy efficiency improvement programme.  Co-design and delivery of a targeted programme to activate Auckland’s commercial tenancy sector to improve resource efficiency, lower emissions and associated costs and to improve workforce wellbeing. Project scope will target 7,500 tenancies and a total net lettable area of 3,050,000m2."	CDP			43932	351	
Auckland 	New Zealand	South Asia and Oceania	Mass Transit		"Improve rail, metro, and tram infrastructure, services and operations"		2017	Construction of the City Rail Link.	CDP			43932	35	
Auckland 	New Zealand	South Asia and Oceania	Food and Agriculture		Encourage sustainable food production and consumption		2017	"Implementation of Kai Auckland - a community-led initiative to promote and support community gardens, food hubs, and the growing of fruit trees."	CDP			43932	144	
Auckland 	New Zealand	South Asia and Oceania	Mass Transit		"Improve bus infrastructure, services, and operations"		2017	Improvements to the public transport network services and infrastructure	CDP			43932	72	
Auckland 	New Zealand	South Asia and Oceania	Energy Supply		Low or zero carbon energy supply generation		2017	Panuku Development Auckland required all rooftops in the Wynyard central redevelopment to be solar PV ready	CDP			43932	107	
Auckland 	New Zealand	South Asia and Oceania	Buildings		Energy efficiency/ retrofit measures		2017	Regional scale-up of a pilot public- private partnership between Auckland Council and energy sector stakeholders which promotes energy efficiency and renewable energy technologies in low-income households and communities.	CDP			43932	221	
Auckland 	New Zealand	South Asia and Oceania	Mass Transit		Improve fuel economy and reduce CO2 from bus and/or light rail		2017	Rollout of electric trains across Auckland’s railnetwork.	CDP			43932	57	
Auckland 	New Zealand	South Asia and Oceania	Waste		Recycling or composting collections and/or facilities		2017	Successful trial of food waste collection services in two suburban districts.	CDP			43932	77	
Bogor 	Indonesia	South Asia and Oceania	Mass Transit		"Improve bus infrastructure, services, and operations"		2017	Accumulation 2017 - 2030	CDP			54329	24	
Auckland 	New Zealand	South Asia and Oceania	Community-Scale Development		Compact cities		2017	The Proposed Auckland Unitary Plan will provide a regulatory planning framework to enable and support a quality compact urban form.	CDP			43932	131	
Chihuahua	Mexico	Latin America	Community-Scale Development		Green space and/ or biodiversity preservation and expansion		2017	"IMPLEMENTACION DE CHIHUAHUA CIUDAD DEL ENCINO CONSISTENTE EN LA PLANTACIÓN DE ARBOLADO ADECUADO A LA DISPONIBILIDAD DE AGUA EN LA CIUDAD Y A LA CLIMATOLOGIA DE LA REGION, AYUIDANDO CON ESTO A LA CAPTURA DE CO2"	CDP			50375	209	
Madrid	Spain	Europe	Private Transport		Infrastructure for non motorized transport		2017	"Public Electric Bike Hire system. Now,  the service covers the  centre  of the city and it´s expected to grow to outter districts"	CDP			31171	129	
Madrid	Spain	Europe	Private Transport		Improve fuel economy and reduce CO2 from motorized vehicles		2017		CDP			31171	0	
Madrid	Spain	Europe	Private Transport		Improve the efficiency of freight systems		2017		CDP			31171	0	
Madrid	Spain	Europe	Private Transport		Infrastructure for non motorized transport		2017		CDP			31171	0	
Madrid	Spain	Europe	Outdoor Lighting		Smart lighting		2017		CDP			31171	0	
Morelia	Mexico	Latin America	Buildings		Building codes and standards		2017	Aplicación de programas de impacto ambiental y riesgo	CDP			50356	53	
Morelia	Mexico	Latin America	Waste		Recycling or composting collections and/or facilities		2017	Sensibilización para generar acciones de separación de reciclaje de materiales	CDP			50356	78	
Morelia	Mexico	Latin America	Community-Scale Development		Green space and/ or biodiversity preservation and expansion		2017	Trabajo en áreas naturales protegidas	CDP			50356	37	
Naucalpan de Juárez	Mexico	Latin America	Community-Scale Development		Brownfield redevelopment programs		2017	Arborización	CDP			60898	12	
Naucalpan de Juárez	Mexico	Latin America	Private Transport		Awareness and education for non motorized transport		2017	Programa de Movilidad Ciclista y Peatonal	CDP			60898	41	
San Luis Potosí	Mexico	Latin America	Private Transport		Transportation demand management		2017	Awareness and education for non-motorized transport.	CDP			50369	52	
San Luis Potosí	Mexico	Latin America	Outdoor Lighting		LED / CFL / other luminaire technologies		2017	"Change the vast majority of the lights of the city, with new fixtures that implement LED technology."	CDP			50369	100	
San Luis Potosí	Mexico	Latin America	Private Transport		Infrastructure for non motorized transport		2017	Expanding and creating bike paths on the main streets and avenues of the city.	CDP			50369	78	
Bærum	Norway	Europe	Community-Scale Development		Compact cities		2017		CDP			58395	0	
Bangkok 	Thailand	South Asia and Oceania	Buildings		Energy efficiency/ retrofit measures		2017	-Developing systematic schedules of retrofitting BMA's existing for appropriate management of energy- Introduction of roof greening-Replacing street lighting to LED	CDP			31150	164	
Barreiro	Portugal	Europe	Private Transport		Infrastructure for non motorized transport		2017	Cyclable routes of Barreiro	CDP			50679	27	
Barreiro	Portugal	Europe	Mass Transit		Smart public transport		2017	Mobility Plan and Intercity Transportation (PMTI)	CDP			50679	49	
Barreiro	Portugal	Europe	Buildings		Energy efficiency/ retrofit measures		2017	"More Efficient Residences (Program of advice in energy efficiency among the condominiums, condominium managers, residents associations or others, and to support the dissemination of improved efficiency in domestic consumption programs)"	CDP			50679	235	
Barreiro	Portugal	Europe	Community-Scale Development		Green space and/ or biodiversity preservation and expansion		2017	"Natural reserve of ""Mata da Machada"" and ""Sapal do Coina"""	CDP			50679	57	
Barreiro	Portugal	Europe	Mass Transit		"Improve bus infrastructure, services, and operations"		2017	Optimization of routes and Timetable of Public Transport	CDP			50679	56	
Copenhagen	Denmark	Europe	Private Transport		Infrastructure for non motorized transport		2017		CDP			31009	0	
Basel-Stadt	Switzerland	Europe	Waste		Recycling or composting collections and/or facilities		2017	"Abfall vermeiden, vermindern, umwelt-gerecht entsorgen: Abfallmanagement und Recyclingsystem"	CDP			31151	92	
Basel-Stadt	Switzerland	Europe	Waste		Waste prevention policies and programs		2017	Abfallkalender	CDP			31151	14	
Basel-Stadt	Switzerland	Europe	Waste		Waste prevention policies and programs		2017	Abfallprävention	CDP			31151	16	
Basel-Stadt	Switzerland	Europe	Community-Scale Development		Eco-district development strategy		2017	"Additional value fee fund: 60% of the additional value from gross floor area is collected in the fund. The money is used to make the city greener (parcs, pocket parcs, play grounds, trees etc.)."	CDP			31151	194	
Basel-Stadt	Switzerland	Europe	Community-Scale Development		Green space and/ or biodiversity preservation and expansion		2017	"Additional value fee fund: 60% of the additional value from gross floor area is collected in the fund. The money is used to make the city greener (parcs, pocket parcs, play grounds, trees etc.)."	CDP			31151	194	
Cascais	Portugal	Europe	Other		Other		2017	Elaboration of guidelines on best environmental practices Awareness of sustainability in existing events	CDP			50680	104	
Basel-Stadt	Switzerland	Europe	Community-Scale Development		Transit oriented development		2017	"Agglomeration program Basel: cross-boarder planning of housing, traffic and landscape in the trinational space of the region Basel"	CDP			31151	130	
Basel-Stadt	Switzerland	Europe	Community-Scale Development		Green space and/ or biodiversity preservation and expansion		2017	Allotment gardens	CDP			31151	17	
Basel-Stadt	Switzerland	Europe	Private Transport		Infrastructure for non motorized transport		2017	Cargovelo2go: Ausleihstationen von Cargovelos für Transporte ohne Auto	CDP			31151	70	
Basel-Stadt	Switzerland	Europe	Private Transport		Improve fuel economy and reduce CO2 from trucks (private)		2017	Clean air plan basel: actions tob e taken when regulatory limits are overstepped	CDP			31151	80	
Basel-Stadt	Switzerland	Europe	Community-Scale Development		Green space and/ or biodiversity preservation and expansion		2017	Concept for nature protection	CDP			31151	29	
Basel-Stadt	Switzerland	Europe	Energy Supply		Low or zero carbon energy supply generation		2017	"District heating grid, geothermal power station, wooden power station"	CDP			31151	69	
Basel-Stadt	Switzerland	Europe	Private Transport		Improve fuel economy and reduce CO2 from motorized vehicles		2017	Ecological fee for motorized vehicles	CDP			31151	37	
Basel-Stadt	Switzerland	Europe	Buildings		Building codes and standards		2017	"Electricity consumption by light and ven-tilation in new buildings, rebuildings and reutilizations"	CDP			31151	98	
Basel-Stadt	Switzerland	Europe	Energy Supply		Low or zero carbon energy supply generation		2017	Energy production in the canton of Basel city: 100% renewable electricity	CDP			31151	73	
Basel-Stadt	Switzerland	Europe	Energy Supply		Low or zero carbon energy supply generation		2017	Energy-promotion-fund: support projects for more energy efficiency and renewa-bel energy	CDP			31151	88	
Basel-Stadt	Switzerland	Europe	Food and Agriculture		Encourage sustainable food production and consumption		2017	Gemeinschaftsgärten von HEKS zur Integration von Flüchtlingen: http://www.heks.ch/schweiz/beide-basel/neue-gaerten-beider-basel Gemeinschaftsgarten Landhof und wei-tere organisiert vom Verein urban agri-culture Basel: http://urbanagriculturebasel.ch	CDP			31151	249	
Basel-Stadt	Switzerland	Europe	Energy Supply		Low or zero carbon energy supply generation		2017	"Governmental grants for energetic reno-vation, solar panels, renewable heating"	CDP			31151	78	
Basel-Stadt	Switzerland	Europe	Community-Scale Development		Low-carbon industrial zones		2017	"If there is a use of more than 5 GWh heat or more than 0.5 GWh electricity per year, there should be done an ana-lysis where energy can be saved. It is expected, that 10% energy can be saved"	CDP			31151	190	
Basel-Stadt	Switzerland	Europe	Buildings		Building codes and standards		2017	"Isolation of new buildings, rebuildings and reutilizations"	CDP			31151	58	
Basel-Stadt	Switzerland	Europe	Community-Scale Development		Eco-district development strategy		2017	Journeys-model: define the amount of parking space and journeys per year if a building causes a lot of traffic	CDP			31151	110	
Amsterdam	Netherlands	Europe	Outdoor Lighting		LED / CFL / other luminaire technologies		2017	Led in streetlightning	CDP			31148	22	
Basel-Stadt	Switzerland	Europe	Private Transport		Awareness and education for non motorized transport		2017	"Law to reduce 10% from the motorized traffic on city street between 2010 and 2020: walkability/bikeability strategy, tram 2020, limited parcing space, parc&ride beyond the city boundary, priorising public transport, street hie-rarchy (speed 50-30-20km/h). www.mobilitaet.bs.ch"	CDP			31151	276	
Basel-Stadt	Switzerland	Europe	Community-Scale Development		Eco-district development strategy		2017	"Law to reduce 10% from the motorized traffic on city street between 2010 and 2020: walkability/bikeability strategy, tram 2020, limited parcing space, parc&ride beyond the city boundary, priorising public transport, street hie-rarchy (speed 50-30-20km/h). www.mobilitaet.bs.ch"	CDP			31151	276	
Basel-Stadt	Switzerland	Europe	Mass Transit		"Improve bus infrastructure, services, and operations"		2017	"Law to reduce 10% from the motorized traffic on city street between 2010 and 2020: walkability/bikeability strategy, tram 2020, limited parcing space, parc&ride beyond the city boundary, priorising public transport, street hie-rarchy (speed 50-30-20km/h). www.mobilitaet.bs.ch"	CDP			31151	276	
Basel-Stadt	Switzerland	Europe	Mass Transit		Improve fuel economy and reduce CO2 from bus and/or light rail		2017	"Law to reduce 10% from the motorized traffic on city street between 2010 and 2020: walkability/bikeability strategy, tram 2020, limited parcing space, parc&ride beyond the city boundary, priorising public transport, street hie-rarchy (speed 50-30-20km/h). www.mobilitaet.bs.ch"	CDP			31151	276	
"Alton, IL"	USA	North America	Buildings		On-site renewable energy generation		2017		CDP			58627	0	
Cascais	Portugal	Europe	Buildings		Building codes and standards		2017	Energy certificate with all the information about energy performance and air quality inside the buildings	CDP			50680	105	
Basel-Stadt	Switzerland	Europe	Mass Transit		"Improve rail, metro, and tram infrastructure, services and operations"		2017	"Law to reduce 10% from the motorized traffic on city street between 2010 and 2020: walkability/bikeability strategy, tram 2020, limited parcing space, parc&ride beyond the city boundary, priorising public transport, street hie-rarchy (speed 50-30-20km/h). www.mobilitaet.bs.ch"	CDP			31151	276	
Basel-Stadt	Switzerland	Europe	Private Transport		Infrastructure for non motorized transport		2017	"Law to reduce 10% from the motorized traffic on city street between 2010 and 2020: walkability/bikeability strategy, tram 2020, limited parcing space, parc&ride beyond the city boundary, priorising public transport, street hie-rarchy (speed 50-30-20km/h). www.mobilitaet.bs.ch"	CDP			31151	276	
Basel-Stadt	Switzerland	Europe	Private Transport		Transportation demand management		2017	"Law to reduce 10% from the motorized traffic on city street between 2010 and 2020: walkability/bikeability strategy, tram 2020, limited parcing space, parc&ride beyond the city boundary, priorising public transport, street hie-rarchy (speed 50-30-20km/h). www.mobilitaet.bs.ch"	CDP			31151	276	
Basel-Stadt	Switzerland	Europe	Private Transport		Transportation demand management		2017	Mobility und catch a car: Die Stadt bietet Sharingangeboten Hand bei der Umset-zung	CDP			31151	83	
Basel-Stadt	Switzerland	Europe	Community-Scale Development		Eco-district development strategy		2017	Outdoor cooling / heating is forbidden	CDP			31151	38	
Basel-Stadt	Switzerland	Europe	Energy Supply		Low or zero carbon energy supply generation		2017	Revision of the energy law Basel: 80% renewable heat production	CDP			31151	63	
Basel-Stadt	Switzerland	Europe	Community-Scale Development		Green space and/ or biodiversity preservation and expansion		2017	Street tree model	CDP			31151	17	
Basel-Stadt	Switzerland	Europe	Community-Scale Development		Compact cities		2017	"Structure plan: densification, functional mix, short distances, high quality of town planning, green- and freespace"	CDP			31151	115	
Basel-Stadt	Switzerland	Europe	Buildings		On-site renewable energy generation		2017	"There is a law which is saying, that 50% of warm water use has to be produced with renewable energy: new buildings, schools, restaurants, hospitals, indoor swimming pool etc."	CDP			31151	174	
Basel-Stadt	Switzerland	Europe	Other		Other		2017	There is a programm to increase the solar electricity. There is also a steering fee to motivate for using less energy.	CDP			31151	118	
Basel-Stadt	Switzerland	Europe	Food and Agriculture		Encourage sustainable food production and consumption		2017	Urban Farmers AG: erste Aquaponic Dachfarm in der Schweiz http://urbanfarmers.com	CDP			31151	81	
Basel-Stadt	Switzerland	Europe	Waste		Waste prevention policies and programs		2017	Verursacherprinzip: Abfallgebühren	CDP			31151	34	
Bogor 	Indonesia	South Asia and Oceania	Community-Scale Development		Green space and/ or biodiversity preservation and expansion		2017	Accumulation 2017 - 2030	CDP			54329	24	
Bogor 	Indonesia	South Asia and Oceania	Private Transport		Improve fuel economy and reduce CO2 from motorized vehicles		2017	Accumulation 2017 - 2030	CDP			54329	24	
Bogor 	Indonesia	South Asia and Oceania	Private Transport		Infrastructure for non motorized transport		2017	Accumulation 2017 - 2030	CDP			54329	24	
Bogor 	Indonesia	South Asia and Oceania	Waste		Recycling or composting collections and/or facilities		2017	Accumulation 2017 - 2030	CDP			54329	24	
Bogor 	Indonesia	South Asia and Oceania	Community-Scale Development		Transit oriented development		2017	Accumulation 2017 - 2030	CDP			54329	24	
Bogor 	Indonesia	South Asia and Oceania	Water		Wastewater to energy initiatives		2017	Accumulation 2017 - 2030	CDP			54329	24	
Bogor 	Indonesia	South Asia and Oceania	Water		Wastewater to energy initiatives		2017	Accumulation 2017 - 2030	CDP			54329	24	
Bogotá 	Colombia	Latin America	Food and Agriculture		Encourage sustainable food production and consumption		2017	500 estates involved with actions or processes of implementation of good productive practices	CDP			31154	93	
"Alton, IL"	USA	North America	Community-Scale Development		Transit oriented development		2017		CDP			58627	0	
